4,Mar,4,Mar,4,Mar
35.46,38.46,42.44,,,
4,Mar,4,Mar,4,Mar
35.79,49.03,39.96,,,
4,Mar,4,Mar,4,Mar
38,34.39,34.36,,,
4,Mar,4,Mar,4,Mar
41.27,28.86,40.19,,,
4,Mar,4,Mar,4,Mar
36.06,38.49,43.83,,,
4,Mar,4,Mar,4,Mar
37.27,40.33,42.09,,,
4,Mar,4,Mar,4,Mar
34.56,35.69,43.67,,,
4,Mar,4,Mar,4,Mar
45.34,40.6,46.34,,,
4,Mar,4,Mar,4,Mar
32.77,50.3,40.8,,,
21,Mar,21,Mar,21,Mar
23.98,30.25,36.69,,,
21,Mar,21,Mar,21,Mar
30.62,33.3,36.52,,,
21,Mar,21,Mar,21,Mar
29.56,38.43,39.65,,,
21,Mar,21,Mar,21,Mar
33.4,34.97,31.89,,,
21,Mar,21,Mar,21,Mar
32.42,35.96,35.78,,,
21,Mar,21,Mar,21,Mar
26.95,30.52,29,,,
21,Mar,21,Mar,21,Mar
36.37,35.14,31.79,,,
21,Mar,21,Mar,21,Mar
36.12,36.12,34.03,,,
21,Mar,21,Mar,21,Mar
35.11,25.5,34.09,,,
26,Jan,25,Jan,25,Jan
1:43.27,2:06.29,1:55.88,,,
25,Jan,25,Jan,25,Jan
1:50.82,1:45.42,2:07.62,,,
25,Jan,25,Jan,25,Jan
2:04.21,1:23.92,1:53.84,,,
25,Jan,25,Jan,24,Jan
1:25.95,1:31.87,2:17.05,,,
24,Jan,24,Jan,24,Jan
2:18.06,1:37.60,2:19.07,,,
24,Jan,24,Jan,24,Jan
2:06.92,2:11.91,2:53.36,,,
24,Jan,24,Jan,24,Jan
1:33.77,1:43.77,1:37.33,,,
19,Jan,19,Jan,19,Jan
1:38.67,2:08.79,2:09.56,,,
19,Jan,19,Jan,19,Jan
2:29.76,1:43.32,1:43.470,,,
30,Jan,30,Jan,30,Jan
1:11.78,1:30.63,1:50.14,,,
30,Jan,30,Jan,29,Jan
1:26.85,1:18.58,1:31.03,,,
29,Jan,29,Jan,29,Jan
1:31.42,1:20.87,1:05.50,,,
